"X","x","y","df.ahy","df.hy","abun","rel.abun","ahy_wing","sy_wing","asy_wing"
870,-83.8334,45.1,-70.6085017395019,-70.6085017395019,0.433887988328934,0.0129790907734806,105.620513916016,103.867134094238,107.888763427734
871,-83.5001,45.1,-70.190499420166,-70.190499420166,0.459971010684967,0.0137593242067902,105.690544128418,103.867134094238,107.888763427734
872,-83.1668,45.1,-69.725001449585,-69.725001449585,0.404991000890732,0.0121146819096053,105.667297363281,104.908798217773,107.888763427734
873,-81.8334,45.1,-70.7794984054565,-70.7794984054565,0,0,105.748924255371,104.741676330566,106.288757324219
874,-81.5001,45.1,-71.2544984054565,-71.2544984054565,1.45151102542877,0.0434197162966073,105.78929901123,104.741676330566,106.955429077148
875,-81.1668,45.1,-70.874500579834,-70.874500579834,1.9972950220108,0.059746003783001,105.706420898438,104.741676330566,106.955429077148
876,-80.1668,45.1,-72.356498260498,-72.356498260498,1.71345901489258,0.0512554868748055,105.556228637695,104.535720825195,105.17765045166
877,-79.8334,45.1,-73.183000869751,-73.183000869751,1.9162130355835,0.0573205610645076,106.304069519043,104.535720825195,105.999870300293
878,-79.5001,45.1,-74.028500289917,-74.028500289917,2.43308091163635,0.0727818673500838,106.799118041992,104.830810546875,106.10277557373
879,-79.1668,45.1,-75.0544984054565,-75.0544984054565,3.2480161190033,0.0971593986840515,106.797439575195,104.830810546875,106.10277557373
880,-78.8334,45.1,-75.4629986953735,-75.4629986953735,3.66898608207703,0.10975206663203,106.499359130859,104.830810546875,105.502777099609
881,-78.5001,45.1,-76.298999710083,-76.298999710083,5.4136381149292,0.161940644586761,105.905662536621,104.85302734375,105.502777099609
882,-78.1668,45.1,-76.498498840332,-76.498498840332,5.7830958366394,0.172992403188119,106.421340942383,104.97802734375,106.669441223145
883,-77.8334,45.1,-76.166000289917,-76.166000289917,5.96228885650635,0.17835268633351,106.596183776855,104.311363220215,106.669441223145
884,-77.5001,45.1,-76.1754986953735,-76.1754986953735,5.92462587356567,0.177226056218051,106.88557434082,104.811363220215,107.324996948242
885,-77.1668,45.1,-76.1185010147095,-76.1185010147095,5.48157596588135,0.163972900740842,106.935073852539,104.811363220215,107.324996948242
886,-76.8334,45.1,-75.5294984054565,-75.5294984054565,5.11922407150269,0.153133702017696,106.743789672852,105.14469909668,108.074996948242
887,-76.5001,45.1,-74.902498550415,-74.902498550415,4.07234001159668,0.121817778073452,107.032676696777,104.650253295898,108.713890075684
888,-76.1668,45.1,-74.636499710083,-74.636499710083,1.1629159450531,0.0347868390431902,107.11060333252,104.843070983887,108.203063964844
889,-75.8334,45.1,-74.3799992752075,-74.3799992752075,3.19124388694763,0.0954611448188052,106.69548034668,105.43571472168,108.523300170898
890,-75.5001,45.1,-74.3515004348755,-74.3515004348755,3.43541502952576,0.102765148407361,106.755531311035,105.60555267334,108.523300170898
891,-75.1668,45.1,-74.398999710083,-74.398999710083,3.49694991111755,0.104605869596697,106.845108032227,105.583335876465,108.523300170898
892,-74.8334,45.1,-74.408501739502,-74.408501739502,1.72895097732544,0.0517189050658688,106.795623779297,105.583335876465,108.523300170898
893,-74.5001,45.1,-74.237501449585,-74.237501449585,2.56113290786743,0.0766123455553219,106.483009338379,106.146461486816,108.684669494629
894,-74.1668,45.1,-74.3230015945435,-74.3230015945435,2.67274808883667,0.0799511417526482,106.708221435547,105.222221374512,107.949127197266
895,-73.8334,45.1,-74.437000579834,-74.437000579834,1.54567801952362,0.0462365768622339,106.672523498535,105.555557250977,108.137191772461
896,-73.5001,45.1,-74.227999420166,-74.227999420166,3.00857305526733,0.0899968282905302,106.464500427246,105.266670227051,108.192749023438
897,-73.1668,45.1,-74.2089989852905,-74.2089989852905,3.66597390174866,0.109661961897722,106.732627868652,105.125,108.191299438477
898,-72.8334,45.1,-75.558000869751,-75.558000869751,3.72779488563538,0.111511241396474,106.720779418945,105.125,108.191299438477
899,-72.5001,45.1,-77.0685010147095,-77.0685010147095,5.09717893600464,0.152474255749444,106.726722717285,105.125,108.191299438477
900,-72.1668,45.1,-76.6219998550415,-76.6219998550415,4.60796594619751,0.137840202784007,107.008491516113,105.333335876465,108.191299438477
901,-71.8334,45.1,-77.7049992752075,-77.7049992752075,4.56702518463135,0.136615522970331,106.88240814209,105.333335876465,108.597961425781
902,-71.5001,45.1,-75.890499420166,-75.890499420166,3.74145102500915,0.11191974376878,106.80778503418,105.333335876465,108.597961425781
903,-71.1668,45.1,-77.315499420166,-77.315499420166,3.95406603813171,0.118279794356377,106.84684753418,106.041664123535,108.597961425781
904,-70.8334,45.1,-77.5339989852905,-77.5339989852905,4.52946615219116,0.135492002373961,106.770622253418,106.541664123535,109.154289245605
905,-70.5001,45.1,-75.8335017395019,-75.8335017395019,4.75188589096069,0.142145346225266,106.820838928223,106.541664123535,109.109527587891
906,-70.1668,45.1,-76.9924992752075,-76.9924992752075,5.96482706069946,0.178428612801884,107.259147644043,106.541664123535,109.109527587891
